task_id	seed_id	dataset	task_description	source_clip	visual_context	audio_pillar	tier	corruption_type	corruption_severity	model	av_sync_score	artifact_quality_score	speaker_consistency_score	semantic_match_score	music_coherence_score	detection_correct	ground_truth_label
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq120	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=120	signal_pipeline	5	5	2	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq120	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=120	gemini_2_5_flash	5	5	1	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq140	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=140	signal_pipeline	5	5	3	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq140	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=140	gemini_2_5_flash	5	5	1	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq160	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=160	signal_pipeline	5	5	3	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq160	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=160	gemini_2_5_flash	5	2	1	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq180	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=180	signal_pipeline	5	5	3	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq180	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=180	gemini_2_5_flash	5	5	1	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq200	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=200	signal_pipeline	5	5	3	5	5	True	speaker_swap
S2_ava_ava_-IELREHX_js_0922470_clean_speech_replacement_freq200	S2	ava	S2: speaker_swap on ava/ava_-IELREHX_js_0922470_clean_speech	ava_-IELREHX_js_0922470_clean_speech	True	voice	2	speaker_swap	replacement_freq=200	gemini_2_5_flash	5	1	1	5	5	True	speaker_swap
